Year,Quarter,Period of coverage,Person level weight used,Breakdown,Level,Employment rate of people with long-term conditions,Employment rate of population ,Indicator value,Long-term condition numerator,Long-term condition denominator,Population numerator,Population denominator
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Hillingdon,64.4,74.3,9.9,30300,47100,152900,205700
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Hounslow,54.7,68.6,13.9,21600,39400,126800,184800
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Isle of Wight,66.9,78.6,11.7,13300,19900,48600,61900
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Islington,51.2,66.1,15,23100,45200,116900,176800
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Kensington and Chelsea,78.4,85.9,7.5,16300,20800,80100,93300
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Kent,68.1,76.9,8.7,198600,291600,695600,905100
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Kingston upon Thames,66.7,76,9.2,22900,34300,88900,117000
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Kirklees,60.7,74.3,13.6,49500,81600,207100,278600
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Knowsley,68.8,79.2,10.4,21400,31000,71300,90000
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Lambeth,57.2,79.2,22,31900,55700,198300,250300
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Lancashire,63.2,77.2,14,133800,211700,553700,717100
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Leeds,65.6,75.9,10.2,92700,141200,379000,499500
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Leicester UA,65,68.8,3.8,34100,52400,161400,234700
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Leicestershire,68.1,75.9,7.8,83800,123200,316200,416800
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Lewisham,65.9,85.2,19.3,23900,36300,169900,199400
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Lincolnshire,59.2,74,14.8,86800,146800,320700,433500
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Liverpool,52.2,69.3,17.1,55400,106000,217500,313700
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Luton UA,58.1,68,9.9,24400,42000,94500,139000
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Manchester,53.3,65.2,11.9,56800,106600,243400,373400
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Medway UA,56.3,72.6,16.2,30300,53800,128500,177200
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Merton,73.9,79,5.1,20500,27800,99800,126400
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Middlesbrough UA,48.3,68.8,20.5,13600,28100,64200,93300
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Milton Keynes,78.8,80.5,1.7,31500,39900,141500,175800
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Newcastle upon Tyne,64.9,70,5.1,33200,51000,137400,196200
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Newham,43.8,68.8,24.9,19500,44500,170000,247100
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Norfolk,68,77.7,9.7,99300,146000,403800,519500
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,North East Lincolnshire UA,38.7,69.6,30.9,10200,26300,63600,91500
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,North Lincolnshire UA,68.5,77.8,9.4,28400,41500,87600,112500
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,North Somerset UA,70.4,81.6,11.2,31400,44500,106800,130800
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,North Tyneside,64.7,76.4,11.7,33500,51800,101700,133100
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,North Yorkshire,65.6,78,12.5,76900,117300,274900,352300
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Northamptonshire,72.4,78.3,5.9,105500,145700,368600,470800
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Northumberland,56.9,69.2,12.4,32500,57100,138000,199300
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Nottingham UA,44.7,59,14.3,29900,67000,118500,200800
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Nottinghamshire,59.2,74.8,15.7,91400,154400,368400,492300
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Oldham,60.4,71.3,10.9,33100,54900,102500,143700
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Oxfordshire,68.8,78.9,10.1,73800,107200,316700,401200
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Peterborough UA,67.8,72,4.3,23200,34300,88200,122400
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Plymouth UA,61.8,72,10.2,37300,60400,124800,173500
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Poole UA,57.7,76.4,18.7,10500,18200,67100,87800
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Portsmouth,56.1,62.2,6.1,20000,35700,89100,143200
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Reading,79.5,82.4,2.9,20200,25500,82600,100200
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Redbridge,63.2,70.5,7.4,24800,39200,139100,197200
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Redcar and Cleveland UA,60.2,73.3,13.1,15500,25700,60600,82700
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Richmond upon Thames,70.7,74.5,3.8,24400,34400,96100,129100
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Rochdale,55.8,74.1,18.3,28700,51400,102300,138100
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Rotherham,63.2,70.4,7.2,39500,62500,111400,158100
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Rutland UA,49.9,81.2,31.3,2000,4000,13400,16500
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Salford,63.2,76.8,13.6,32800,51900,129800,168900
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Sandwell,47.6,55.9,8.3,33100,69500,104900,187500
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Sefton,56.8,71.7,14.9,32700,57600,121800,169800
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Sheffield,55.5,68.5,12.9,67200,121000,248200,362400
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Shropshire,63.5,74.6,11.1,34100,53700,134800,180700
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Slough,52.9,75.2,22.3,13200,25000,74000,98500
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Solihull,62.9,79,16.1,16700,26600,94000,118900
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Somerset,61.1,77.6,16.5,54900,89900,245200,315800
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,South Gloucestershire UA,63.5,79.2,15.8,37800,59600,137000,172900
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,South Tyneside,48,68.5,20.5,14000,29100,53000,77400
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Southampton,53.7,65.7,12.1,26400,49200,116300,177000
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Southend-on-Sea UA,59.8,77.3,17.4,22900,38300,87900,113700
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Southwark,53.2,73.9,20.7,25300,47700,169500,229400
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,St. Helens,35,61.5,26.5,12700,36300,62500,101700
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Staffordshire,69.2,79.2,10,115900,167600,427300,539700
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Stockport,63.9,76.6,12.7,39100,61100,144400,188600
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Stockton-on-Tees UA,61.9,72.1,10.2,25000,40300,81900,113600
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Stoke-on-Trent UA,41.3,68.7,27.4,22800,55200,105900,154100
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Suffolk,68.4,79.9,11.5,91800,134200,349100,437100
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Sunderland,46.1,71.1,25,23000,49900,135800,191000
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Surrey,71.9,78.4,6.5,134600,187300,569800,727200
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Sutton,72.8,79.5,6.6,22500,30900,100800,126800
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Swindon UA,76.9,86.7,9.8,36000,46800,120900,139500
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Tameside,63.3,74.8,11.4,31100,49000,96500,129000
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Telford and Wrekin UA,64.9,75.7,10.8,17900,27600,83400,110100
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Thurrock UA,68.4,76.1,7.7,19800,28900,73200,96100
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Torbay UA,64,75.7,11.7,15700,24500,53800,71100
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Tower Hamlets,33.5,60,26.5,14000,41700,142000,236600
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Trafford,73.9,78.1,4.2,27500,37300,100300,128300
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Wakefield,60.7,75.6,14.9,48900,80600,158400,209700
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Walsall,53,72.4,19.4,29800,56200,132500,183000
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Waltham Forest,66.7,75.2,8.4,22200,33200,148200,197200
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Wandsworth,73.1,77.8,4.7,31500,43000,183600,236000
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Warrington UA,67.7,80.2,12.5,23100,34200,106800,133200
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Warwickshire,65,77,12,73000,112300,271500,352600
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,West Berkshire,75.6,85.5,9.9,17300,22800,85800,100400
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,West Sussex,71.3,81.1,9.8,112400,157600,406700,501200
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Westminster,50.7,64.3,13.6,21700,42800,114100,177500
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Wigan,62.5,76.5,14,41400,66200,157400,205800
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Wiltshire,78.3,84.6,6.3,61400,78400,245100,289700
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Windsor and Maidenhead,77.4,79.5,2.1,19000,24600,85400,107400
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Wirral,53.2,71.5,18.3,32700,61500,132300,185100
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Wokingham,80.3,85.8,5.5,18100,22500,84100,98000
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Wolverhampton,61.6,69.5,7.9,28000,45400,103800,149500
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,Worcestershire,55.9,75.3,19.3,46800,83600,250400,332600
2017b,1,01/01/2017 to 31/03/2017,2017 person level weights,Unitary authority / local area,York UA,62.8,75.9,13.2,23300,37100,100900,132900
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Barking and Dagenham,50.8,68.9,18.1,16300,32000,90300,131000
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Barnet,52.6,67.3,14.7,31000,58900,154700,229900
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Barnsley,60.6,73.2,12.5,31300,51600,108300,148000
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Bath and North East Somerset UA,70.1,72.8,2.7,23700,33900,83600,114800
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Bedfordshire,61.8,79.5,17.8,47800,77300,230200,289400
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Bexley,70.6,82.2,11.6,26500,37500,136500,166000
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Birmingham,53.6,65,11.4,101800,190000,468600,720800
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Blackburn with Darwen UA,40.8,65,24.2,10700,26200,58600,90200
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Blackpool UA,51.7,70.8,19.1,15500,29900,63800,90100
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Bolton,50.1,72.8,22.7,33500,66900,130500,179300
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Bournemouth UA,63.4,80.7,17.2,26000,41000,96300,119400
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Bracknell Forest UA,79.4,85.8,6.3,15200,19200,66200,77200
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Bradford,61,70.2,9.2,56000,91800,234500,334000
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Brent,60.2,70,9.8,31500,52200,151600,216500
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Brighton and Hove,62.9,74,11,42300,67100,149300,201800
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Bromley,58.7,75.4,16.7,25900,44100,141400,187500
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Buckinghamshire,77,83.7,6.7,65100,84600,263100,314500
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Bury,70,75.6,5.6,28000,40000,85600,113200
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Calderdale,61.6,73.2,11.6,26900,43600,98500,134500
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Cambridgeshire,61.2,77.4,16.2,62500,102200,307400,397100
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Camden,62.7,77,14.4,21900,34900,132300,171700
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Cheshire,66.1,75.2,9.1,81200,122800,315500,419700
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,City of Bristol UA,70.1,76.7,6.6,71500,102000,236300,308200
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,City of Kingston upon Hull UA,70.2,75.1,4.9,36900,52500,123100,163800
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Cornwall and the Isles of Scilly,63.6,75.5,11.8,68400,107500,236700,313500
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,County of Herefordshire UA,78.8,81.9,3.1,18300,23200,82200,100300
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Coventry,64.4,70.2,5.8,36300,56400,155900,222100
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Croydon,77.8,78,0.2,53300,68600,193300,247800
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Cumbria,62.8,77.5,14.7,62900,100200,232200,299800
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Darlington UA,66.3,73.9,7.6,14100,21300,45800,62000
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Derby UA,60.3,80.5,20.3,32400,53700,132500,164500
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Derbyshire,69.2,79,9.8,104000,150200,385300,487900
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Devon,65.1,75.8,10.8,95500,146800,341300,450100
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Doncaster,58.2,74.3,16.1,34700,59600,139600,188000
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Dorset,74.9,76.9,2,68500,91500,195000,253600
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Dudley,56.7,74.1,17.4,38300,67600,143900,194300
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Durham,54.7,74.7,20,64500,117900,235100,314600
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Ealing,70.8,76.8,6,54900,77500,178800,232900
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,East Riding of Yorkshire UA,57.9,74.4,16.4,33400,57700,146900,197600
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,East Sussex,72.6,77.9,5.3,77100,106200,243000,311900
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Enfield,62.8,72.3,9.5,41200,65500,145300,200900
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Essex,68.3,76,7.7,196100,287000,682300,897400
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Gateshead,57.6,72.9,15.3,29000,50400,96700,132600
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Gloucestershire,68.6,79.4,10.7,88100,128300,305300,384600
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Greenwich,50.4,74.5,24,28200,55900,143200,192300
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Hackney,51.8,72.2,20.4,23600,45600,143400,198500
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Halton UA,53.2,70.5,17.3,18300,34500,60800,86200
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Hammersmith and Fulham,71.7,86.8,15.1,17100,23900,109100,125700
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Hampshire,68.7,80.7,12,160700,233900,663700,822300
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Haringey,47.3,65.3,18,21100,44600,117700,180200
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Harrow,72.8,70.6,-2.2,26700,36600,110000,155900
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Hartlepool UA,50,67.2,17.2,12200,24500,41500,61800
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Havering,75.4,82.2,6.8,41700,55300,143100,174000
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Hertfordshire,68.4,78.5,10.1,119700,175100,564600,719200
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Hillingdon,60.3,71.1,10.8,29900,49600,137000,192700
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Hounslow,61.5,70.2,8.7,33200,53900,125500,178700
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Isle of Wight,63.1,76.7,13.6,14200,22500,58800,76700
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Islington,42.3,63.2,20.9,17100,40400,116600,184500
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Kensington and Chelsea,81.4,80.3,-1.1,17700,21700,67700,84200
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Kent,69.2,76.6,7.5,204500,295500,696900,909300
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Kingston upon Thames,63.5,77.5,14,27900,43900,98600,127300
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Kirklees,61.1,73.7,12.6,56500,92400,202400,274700
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Knowsley,63.6,76,12.3,19800,31100,69500,91500
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Lambeth,64.8,83.4,18.6,32400,50000,201600,241600
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Lancashire,65.9,77.2,11.3,146900,223000,552900,716500
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Leeds,66,74.6,8.5,96000,145300,380100,509800
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Leicester UA,59.7,63.7,4,32500,54500,143100,224700
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Leicestershire,70.5,76.3,5.8,96500,136900,330700,433200
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Lewisham,65.7,79.1,13.4,27500,41800,169700,214500
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Lincolnshire,58.2,75.6,17.4,86300,148100,339400,448800
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Liverpool,51.8,66.4,14.6,51700,99800,200700,302300
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Luton UA,57.6,64.5,6.9,24100,41800,86500,134000
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Manchester,50.4,62.8,12.5,52800,104700,230700,367100
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Medway UA,64.2,74.9,10.8,36900,57600,133000,177500
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Merton,58,74.7,16.8,12900,22200,89000,119100
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Middlesbrough UA,33.3,63.6,30.3,8800,26400,57900,90900
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Milton Keynes,73.9,79.7,5.8,32100,43400,146900,184400
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Newcastle upon Tyne,54.1,70.9,16.8,29300,54200,131400,185400
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Newham,40.7,66,25.3,18900,46400,151300,229400
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Norfolk,66.6,76.9,10.4,105900,159100,386900,502900
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,North East Lincolnshire UA,43.8,71.7,27.9,13600,31100,79700,111200
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,North Lincolnshire UA,65.5,75,9.5,30100,46000,78500,104600
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,North Somerset UA,79,84,5,37600,47600,106300,126600
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,North Tyneside,62.1,78.3,16.2,31300,50400,110200,140700
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,North Yorkshire,69.2,80.5,11.2,85200,123100,285200,354400
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Northamptonshire,69.4,78.9,9.5,87200,125700,340400,431400
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Northumberland,57.8,70.5,12.6,39200,67700,147100,208800
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Nottingham UA,45.3,64.2,19,27600,60900,137100,213400
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Nottinghamshire,65.3,77.9,12.6,106500,163200,391500,502700
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Oldham,58.4,69.6,11.2,30800,52700,103100,148100
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Oxfordshire,68.1,79.2,11.1,75000,110100,327500,413300
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Peterborough UA,70.3,74.2,4,26400,37500,95400,128500
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Plymouth UA,71.7,78.2,6.5,37000,51600,127200,162700
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Poole UA,52.1,68.2,16.2,10200,19500,58600,85800
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Portsmouth,58.2,69.1,10.9,23600,40500,93500,135300
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Reading,76,80.9,4.9,21400,28100,97100,120000
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Redbridge,59.3,68.5,9.2,22900,38600,137300,200400
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Redcar and Cleveland UA,69,75.1,6.1,15000,21700,55800,74300
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Richmond upon Thames,71.5,79.7,8.3,21200,29700,109400,137200
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Rochdale,54.4,74.7,20.3,28700,52700,104100,139500
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Rotherham,56.7,68.5,11.8,33800,59600,111100,162300
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Rutland UA,55.6,74.9,19.3,3500,6400,15500,20600
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Salford,65.1,75.9,10.8,33700,51800,119000,156800
2016,4,01/10/2016 to 31/12/2016,2016 person level weights,Unitary authority / local area,Sandwell,48.2,59.5,11.3,27600,57300,111900,188200
